# NAS100 TRD export, riskPct=2, baseline config (in_20=false), 13.07.2026
# TRD|dir|entryMs|exitMs|entry|sl|tp|profit
# window 2021-10-01 (Итог -156.76 / 14)
TRD|S|1680183300000|1680184500000|12921.55|12956.05|12809.8|-188.68
TRD|L|1680789600000|1680794400000|12901.38|12843.5|12966.5|200.26
TRD|L|1681139100000|1681206000000|12944|12855.5|13090.75|292.6
TRD|L|1682086200000|1682098800000|12941.75|12894.75|13017.75|302
TRD|S|1683123000000|1683136800000|13135.63|13171.88|13087.13|-201.42
# window 2023-09-01 (Итог +536.80 / 13)
TRD|S|1685628900000|1685630400000|14275.25|14309.88|14209.63|-202.92
TRD|S|1686067800000|1686069600000|14564.23|14595.73|14527.15|226.92
TRD|L|1687530900000|1687795500000|14910.5|14811.75|15060.25|-199.6
TRD|S|1688478300000|1688515800000|15206.25|15212.5|15178.5|857.22
TRD|S|1689601500000|1689607500000|15589.5|15649.5|15529.38|-213.5
TRD|L|1689950700000|1689966300000|15494.13|15431.5|15598.25|-209.88
TRD|S|1690467600000|1690482300000|15713.75|15796.35|15518.48|467.76
TRD|L|1691158500000|1691163600000|15381.95|15310.7|15475.2|278.1
TRD|L|1691760900000|1691761500000|15030.25|14987.63|15195.5|-222.87
TRD|L|1692111600000|1692127500000|15107.25|15044.5|15266.58|-216.92
TRD|L|1692192900000|1692201000000|15030.88|14986.5|15098.25|-213.38
TRD|L|1692283800000|1692295500000|14858.8|14797.93|14950.55|-210.46
TRD|L|1692368400000|1692387900000|14610.35|14549.6|14730.98|396.33
# window 2023-12-01 (Итог +2801.87 / 11)
TRD|S|1693836600000|1693873200000|15529.13|15553|15473.38|458.99
TRD|L|1694093700000|1694416800000|15186.75|15139.13|15376.38|813.13
TRD|L|1695225000000|1695232800000|15183.5|15142.75|15253|-229.9
TRD|L|1695305100000|1695322800000|14808|14751.5|14974.13|-224.25
TRD|L|1695824400000|1695826200000|14590.5|14547.25|14635.75|-221.5
TRD|S|1695997200000|1696010100000|14820.5|14906.5|14671.88|355.68
TRD|S|1696260900000|1696341900000|14844.13|14896.88|14678.38|677.73
TRD|L|1696858800000|1696873200000|14898.5|14813.75|15001.25|276.21
TRD|L|1698068700000|1698073800000|14500.75|14416.38|14616.38|322.28
TRD|L|1698761100000|1698774000000|14290.25|14230.25|14372|324.8
